id,name,names_in_dataset,all_names_in_cluster,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,datasets.id,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
63359a32-aaac-449e-bef5-d4690d5240f2,Oncostoma olivaceum,Oncostoma olivaceum,Oncostoma olivaceum,1,Taxon concept 7eb99068-bbae-4968-964c-e5da0d69c174 containing 'Oncostoma olivaceum' found between 1983 to 2017 in 2 datasets (part of name cluster 63359a32-aaac-449e-bef5-d4690d5240f2),added -> referenced,added -> referenced,,aou_6 (1983),1983,Monotypic.,Southern Bentbill,1103,Tyrannidae,Tyranneau de Lawrence,Oncostoma,Passeriformes,species,NA,Oncostoma olivaceum,NA,NA,NA,NA,NA,NA,Platyrinchinae
517f6777-2834-4e52-b48f-63cf43c37a58,Colaptes auricularis,Colaptes auricularis,Piculus auricularis; Colaptes auricularis,1,Taxon concept 895f8354-32af-4726-b85e-d6639ea7dc8e containing 'Piculus auricularis' and 'Colaptes auricularis' found between 1983 to 2017 in 3 datasets (part of name cluster 517f6777-2834-4e52-b48f-63cf43c37a58),added -> rename -> referenced,added -> referenced,,aou_6 (1983),1983,Monotypic.,Gray-crowned Woodpecker,977,Picidae,Pic à tête grise,Colaptes,Piciformes,species,NA,Colaptes auricularis,NA,NA,NA,NA,NA,NA,Picinae
2af21418-34d7-43e9-bdf1-52c3339892f2,Contopus cinereus,Contopus cinereus,Contopus cinereus,1,Taxon concept dbb6dc5b-8ddc-48a5-84ba-0b64b9e2e7bd containing 'Contopus cinereus' found between 1983 to 2017 in 2 datasets (part of name cluster 2af21418-34d7-43e9-bdf1-52c3339892f2),added -> referenced,added -> referenced,,aou_6 (1983),1983,NA,Tropical Pewee,1133,Tyrannidae,Moucherolle cendré,Contopus,Passeriformes,species,NA,Contopus cinereus,NA,NA,NA,NA,NA,NA,Fluvicolinae
9f649f7c-8e3d-46a1-9105-e61cbc25cf3b,Quiscalus quiscula,Quiscalus quiscula,Quiscalus quiscula aglaeus; Quiscalus quiscula; Quiscalus quiscula aeneus,3,Taxon concept b7bba7da-27db-45c2-9e8c-49f41a47d168 containing 'Quiscalus quiscula' found between 1944 to 1948 in 2 datasets (part of name cluster 9f649f7c-8e3d-46a1-9105-e61cbc25cf3b); Taxon concept 0f5459ad-db97-42fa-a17b-acbf7e7e3e31 containing 'Quiscalus quiscula' and 'Quiscalus quiscula aeneus' and 'Quiscalus quiscula aglaeus' found between 1886 to 1944 in 2 datasets (part of name cluster 9f649f7c-8e3d-46a1-9105-e61cbc25cf3b); Taxon concept 2cf800c9-80b1-4b58-a547-3459aa60efad containing 'Quiscalus quiscula' found between 1948 to 2017 in 6 datasets (part of name cluster 9f649f7c-8e3d-46a1-9105-e61cbc25cf3b),added|added|added -> split -> lump -> referenced -> referenced -> deleted|deleted -> referenced -> referenced,added|added|added -> split -> lump -> referenced -> referenced -> deleted|deleted -> referenced -> referenced,split -> lump,aou_1.csv (1886),1886,NA,Common Grackle,1786; 511a; 511; 511b,Icteridae,Quiscale bronzé,Quiscalus,Passeriformes,species,Quiscalus quiscula aglaeus; Quiscalus quiscula; Quiscalus quiscula aeneus,Quiscalus quiscula,NA,NA,NA,NA,NA,NA,NA
3faba138-a235-4c9d-b5af-43a7110914f1,Vireo gilvus,Vireo gilvus,Vireosylva gilva; Vireo gilvus,1,Taxon concept 027b22f1-7c69-442e-b9cd-db6ac41f069c containing 'Vireo gilvus' and 'Vireosylva gilva' found between 1886 to 2017 in 5 datasets (part of name cluster 3faba138-a235-4c9d-b5af-43a7110914f1),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Warbling Vireo,1254; 627,Vireonidae,Viréo mélodieux,Vireo,Passeriformes,species,Vireo gilvus,Vireo gilvus,NA,NA,NA,NA,NA,NA,NA
e6d52a2e-dac1-4340-acc0-f1aa5c200085,Catherpes mexicanus,Catherpes mexicanus,Catherpes mexicanus,1,Taxon concept 85f5f979-10fd-46f3-bf93-0c45371d6ad7 containing 'Catherpes mexicanus' found between 1886 to 2017 in 5 datasets (part of name cluster e6d52a2e-dac1-4340-acc0-f1aa5c200085),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Canyon Wren,[717]; 1363,Troglodytidae,Troglodyte des canyons,Catherpes,Passeriformes,species,Catherpes mexicanus,Catherpes mexicanus,NA,NA,NA,NA,NA,NA,NA
2803fb0e-441e-4565-917c-34c545ccdf11,Larus argentatus,Larus argentatus,Larus argentatus; Larus argentatus smithsonianus,3,Taxon concept 348cd25c-0570-453a-bed0-49af36fdbf07 containing 'Larus argentatus smithsonianus' and 'Larus argentatus' found between 1886 to 1931 in 2 datasets (part of name cluster 2803fb0e-441e-4565-917c-34c545ccdf11); Taxon concept 8ac13858-8ee8-43b8-8b6b-f35348fd5237 containing 'Larus argentatus' found between 1993 to 2017 in 2 datasets (part of name cluster 2803fb0e-441e-4565-917c-34c545ccdf11); Taxon concept f16cba7b-f71a-4b3c-a93b-4639bab3f38a containing 'Larus argentatus' found between 1931 to 1993 in 3 datasets (part of name cluster 2803fb0e-441e-4565-917c-34c545ccdf11),added|added -> lump|lump -> deleted -> split -> referenced,added|added -> lump|lump -> deleted -> split -> referenced,lump|lump -> split,aou_1.csv (1886),1886,NA,Herring Gull,51a; 467; 51,Laridae,Goéland argenté,Larus,Charadriiformes,species,Larus argentatus; Larus argentatus smithsonianus,Larus argentatus,NA,NA,NA,NA,NA,NA,Larinae
5653ee5a-6396-49e4-9cd6-b35bea7eac36,Anas zonorhyncha,Anas zonorhyncha,Anas zonorhyncha,2,Taxon concept 60494b0c-94bc-4b8d-84ff-fd5d58c29e43 containing 'Anas zonorhyncha' found between 2008 in 1 datasets (part of name cluster 5653ee5a-6396-49e4-9cd6-b35bea7eac36); Taxon concept 7340837f-5598-406b-90c9-a1dac30da432 containing 'Anas zonorhyncha' found between 2008 to 2017 in 2 datasets (part of name cluster 5653ee5a-6396-49e4-9cd6-b35bea7eac36),split -> referenced,split -> referenced,split,aou_7_49 (2008),2008,"Recognized as a subspecies of <i>Anas poecilorhynchas</i> by Peters (1979), del Hoyo et al. (1992), Clements (2000), and Howard and Moore (2003).",Eastern Spot-billed Duck,41,Anatidae,Canard de Chine,Anas,Anseriformes,species,NA,Anas zonorhyncha,A,NA,NA,NA,NA,NA,Anatinae
70f561d4-d6d9-4fde-9f29-6dde9a6de281,Phylloscartes flavovirens,Phylloscartes flavovirens,Phylloscartes flavovirens,1,Taxon concept 41ef62df-2431-4bfc-bfbe-24b26dce766a containing 'Phylloscartes flavovirens' found between 1983 to 2017 in 2 datasets (part of name cluster 70f561d4-d6d9-4fde-9f29-6dde9a6de281),added -> referenced,added -> referenced,,aou_6 (1983),1983,Monotypic.,Yellow-green Tyrannulet,1092,Tyrannidae,Tyranneau jaune-vert,Phylloscartes,Passeriformes,species,NA,Phylloscartes flavovirens,NA,NA,NA,NA,NA,NA,Elaeniinae
e279ba2c-0934-4593-a360-e0d8fb369029,Tyrannus cubensis,Tyrannus cubensis,Tyrannus cubensis,1,Taxon concept c4c329f1-1b09-4d55-9e3a-53a8c1a9b989 containing 'Tyrannus cubensis' found between 1983 to 2017 in 2 datasets (part of name cluster e279ba2c-0934-4593-a360-e0d8fb369029),added -> referenced,added -> referenced,,aou_6 (1983),1983,Monotypic.,Giant Kingbird,1199,Tyrannidae,Tyran géant,Tyrannus,Passeriformes,species,NA,Tyrannus cubensis,NA,NA,NA,NA,NA,NA,Tyranninae
