index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,complete_reversions,complete_reversions_summary,complete_reversion_count,completely_reverts_a_previous_change,completely_reverts_a_later_change
287,split,Trogon viridis,"Trogon chionurus, Trogon viridis",aou_7_51 (2010),2010,"Trogon viridis -> Trogon chionurus + Trogon viridis [split, aou_7_51 (2010)]",,0,no,no,,,0,no,no
288,split,Caprimulgus vociferus,"Caprimulgus vociferus, Caprimulgus arizonae",aou_7_51 (2010),2010,"Caprimulgus vociferus -> Caprimulgus vociferus + Caprimulgus arizonae [split, aou_7_51 (2010)]",,0,no,no,,,0,no,no
289,split,Chasiempis sandwichensis,"Chasiempis ibidis, Chasiempis sandwichensis, Chasiempis sclateri",aou_7_51 (2010),2010,"Chasiempis sandwichensis -> Chasiempis ibidis + Chasiempis sandwichensis + Chasiempis sclateri [split, aou_7_51 (2010)]",,0,no,no,,,0,no,no
290,split,Icterus dominicensis,"Icterus northropi, Icterus melanopsis, Icterus portoricensis, Icterus dominicensis",aou_7_51 (2010),2010,"Icterus dominicensis -> Icterus northropi + Icterus melanopsis + Icterus portoricensis + Icterus dominicensis [split, aou_7_51 (2010)]",,0,no,no,,,0,no,no
291,split,Troglodytes troglodytes,"Troglodytes hiemalis, Troglodytes troglodytes, Troglodytes pacificus",aou_7_51 (2010),2010,"Troglodytes troglodytes -> Troglodytes hiemalis + Troglodytes troglodytes + Troglodytes pacificus [split, aou_7_51 (2010)]","Troglodytes troglodytes + Nannus hiemalis -> Troglodytes troglodytes [lump, aou_4_19 (1944)]",1,yes,no,,,0,no,no
292,split,Gallinula chloropus,"Gallinula chloropus, Gallinula galeata",aou_7_52 (2011),2011,"Gallinula chloropus -> Gallinula chloropus + Gallinula galeata [split, aou_7_52 (2011)]","Gallinula chloropus + Gallinula galeata -> Gallinula chloropus [lump, aou_3_18 (1923)]",1,yes,no,"Gallinula chloropus + Gallinula galeata -> Gallinula chloropus [lump, aou_3_18 (1923)]","lump (1923) -> split (2011) [starting with change Gallinula chloropus + Gallinula galeata -> Gallinula chloropus [lump, aou_3_18 (1923)]]",1,yes,no
293,split,Chaetura andrei,"Chaetura meridionalis, Chaetura andrei",aou_7_52 (2011),2011,"Chaetura andrei -> Chaetura meridionalis + Chaetura andrei [split, aou_7_52 (2011)]",,0,no,no,,,0,no,no
294,lump,"Ramphastos ambiguus, Ramphastos swainsonii",Ramphastos ambiguus,aou_7_52 (2011),2011,"Ramphastos ambiguus + Ramphastos swainsonii -> Ramphastos ambiguus [lump, aou_7_52 (2011)]",,0,no,no,,,0,no,no
295,split,Aphelocoma ultramarina,"Aphelocoma wollweberi, Aphelocoma ultramarina",aou_7_52 (2011),2011,"Aphelocoma ultramarina -> Aphelocoma wollweberi + Aphelocoma ultramarina [split, aou_7_52 (2011)]",,0,no,no,,,0,no,no
296,split,Setophaga dominica,"Setophaga flavescens, Setophaga dominica",aou_7_52 (2011),2011,"Setophaga dominica -> Setophaga flavescens + Setophaga dominica [split, aou_7_52 (2011)]",,0,no,no,,,0,no,no
