name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset
Catharus minimus,"Catharus minimus, Hylocichla aliciae, Turdus aliciae, Hylocichla minima, Turdus aliciae bicknelli",5,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4 (1931); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1931; 1973; January 1982; February 1982; 1983; 1995; 2017,yes,yes
Conuropsis carolinensis,"Conuropsis carolinensis, Conurus carolinensis",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1957; February 1982; 2017,yes,yes
Haematopus ostralegus,Haematopus ostralegus,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1957; January 1982; 1997; 2017,yes,yes
Cyanocompsa cyanoides,Cyanocompsa cyanoides,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Synallaxis erythrothorax,Synallaxis erythrothorax,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Icterus mesomelas,Icterus mesomelas,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Herpetotheres cachinnans,Herpetotheres cachinnans,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Stercorarius longicaudus,Stercorarius longicaudus,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2006; 2017,yes,yes
Heliodoxa jacula,Heliodoxa jacula,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Antrostomus arizonae,"Antrostomus arizonae, Caprimulgus arizonae",2,Dataset aou_7_51 (2010); Dataset aou_7_53 (2012); Checklist NACC_list_species_aou_7_57.csv (2017),2010; 2012; 2017,no,yes
Capella media,"Capella media, Gallinago media, Gallinago major",3,Dataset aou_2_09 (1899); Dataset aou_2_14 (1908); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_5 (1957),1899; 1908; 1909; 1931; 1957,no,no
Myrmeciza immaculata,Myrmeciza immaculata,1,Dataset aou_6 (1983); Dataset aou_6_41 (1997); Dataset aou_7_54 (2013),1983; 1997; 2013,no,no
Micrathene whitneyi,"Micrathene whitneyi, Micropallas whitneyi",2,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_2_14 (1908); Dataset aou_4_22 (1947); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1908; 1947; February 1982; 2017,yes,yes
Atticora tibialis,"Atticora tibialis, Neochelidon tibialis",2,Dataset aou_6 (1983); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2016; 2017,no,yes
Anser erythropus,Anser erythropus,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_39 (1993); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 1993; 1995; 2017,no,yes
Quiscalus palustris,Quiscalus palustris,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Panterpe insignis,Panterpe insignis,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Calidris ruficollis,"Erolia ruficollis, Calidris ruficollis, Pisobia ruficollis",3,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; 1973; January 1982; February 1982; 1995; 2017,no,yes
Phaethon rubricauda,"Phaethon rubricaudus, Phaethon rubricauda",2,Dataset aou_2_09 (1899); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1899; 1931; 1944; 1957; January 1982; February 1982; 2017,no,yes
Progne subis,Progne subis,1,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Dataset aou_4_31 (1956); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; 1956; February 1982; 2017,yes,yes
Asio wilsonianus,Asio wilsonianus,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4_19 (1944),1886; 1908; 1910; 1944,yes,no
Scytalopus vicinior,Scytalopus vicinior,1,Dataset aou_6 (1983); Dataset aou_7 (1998),1983; 1998,no,no
Aechmophorus occidentalis,Aechmophorus occidentalis,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1957; February 1982; 1985; 2017,yes,yes
Larus dominicanus,Larus dominicanus,1,Dataset aou_7_43 (2002); Checklist NACC_list_species_aou_7_57.csv (2017),2002; 2017,no,yes
Selasphorus platycercus,"Selasphorus platycercus, Trochilus platycercus",2,Checklist aou_1.csv (1886); Dataset aou_1_05 (1893); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1893; February 1982; 2017,yes,yes
Telespiza cantans,Telespiza cantans,1,Dataset aou_5_34 (January 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; 2017,no,yes
Setophaga pinus,"Setophaga pinus, Dendroica vigorsii, Dendroica vigorsi, Dendroica pinus",4,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1920; 1931; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes
Paroreomyza flammea,Paroreomyza flammea,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_39 (1993); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 1993; 2017,no,yes
Synallaxis albescens,Synallaxis albescens,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Pheugopedius atrogularis,"Pheugopedius atrogularis, Thryothorus atrogularis",2,Dataset aou_6 (1983); Dataset aou_7_53 (2012); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2012; 2017,no,yes
Cassiculus melanicterus,"Cassiculus melanicterus, Cacicus melanicterus",2,Dataset aou_6 (1983); Dataset aou_7_55 (2014); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2014; 2017,no,yes
