name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset
Numenius americanus,"Numenius americanus, Numenius longirostris",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes
Cardinalis sinuatus,"Cardinalis sinuatus, Pyrrhuloxia sinuata",2,Checklist aou_1.csv (1886); Dataset aou_2 (1895); Dataset aou_3 (1910); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; 1910; 1957; 1976; January 1982; February 1982; 1983; 2017,yes,yes
Eucometis penicillata,Eucometis penicillata,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Turdus nudigenis,Turdus nudigenis,1,Dataset aou_6 (1983); Dataset aou_6_35 (1985); Dataset aou_7_49 (2008); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1985; 2008; 2011; 2017,no,yes
Geranospiza caerulescens,Geranospiza caerulescens,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Anas laysanensis,Anas laysanensis,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Pterodroma cervicalis,Pterodroma cervicalis,1,Dataset aou_6_38 (1991); Checklist NACC_list_species_aou_7_57.csv (2017),1991; 2017,no,yes
Synthliboramphus antiquus,"Synthliboramphus antiquus, Synthliboramphus antiquum",2,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; 1973; February 1982; 2017,yes,yes
Delichon urbicum,"Delichon urbica, Chelidonaria urbica, Delichon urbicum",3,Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1908; 1910; 1944; 1957; January 1982; February 1982; 2004; 2017,no,yes
Anthus pratensis,Anthus pratensis,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982),1886; January 1982,yes,no
Margarornis bellulus,Margarornis bellulus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Ceratopipra erythrocephala,Ceratopipra erythrocephala,1,Dataset aou_7_54 (2013); Checklist NACC_list_species_aou_7_57.csv (2017),2013; 2017,no,yes
Passerina amoena,"Cyanospiza amoena, Passerina amoena",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1908; January 1982; February 1982; 1983; 2017,yes,yes
Turdus obsoletus,Turdus obsoletus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Xenotriccus callizonus,Xenotriccus callizonus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Emberiza rustica,Emberiza rustica,1,Dataset aou_3_16 (1912); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1912; January 1982; February 1982; 2017,no,yes
Xenus cinereus,Xenus cinereus,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Troglodytes hiemalis,"Troglodytes hiemalis pacificus, Nannus hiemalis, Troglodytes hiemalis, Olbiorchilus hiemalis, Anorthura hiemalis",5,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_11 (1902); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1902; 1908; 1931; 1944; 2010; 2017,yes,yes
Trochilus heloisa,Trochilus heloisa,1,Checklist aou_1.csv (1886); Dataset aou_1_03 (1891),1886; 1891,yes,no
Fregata aquila,Fregata aquila,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931),1886; 1909; 1931,yes,no
Basileuterus belli,Basileuterus belli,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1983; 2017,yes,yes
Pygochelidon cyanoleuca,Pygochelidon cyanoleuca,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Legatus leucophaius,Legatus leucophaius,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Luscinia calliope,"Calliope calliope, Luscinia calliope",2,Dataset aou_3_16 (1912); Dataset aou_4 (1931); Dataset aou_4_25 (1950); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1912; 1931; 1950; 1957; January 1982; February 1982; 1983; 2011; 2017,no,yes
Phainoptila melanoxantha,Phainoptila melanoxantha,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Tangara lavinia,Tangara lavinia,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Leucosticte tephrocotis,"Leucosticte tephrocotis littoralis, Leucosticte tephrocotis",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_5_34 (January 1982); Dataset aou_6_39 (1993); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; January 1982; 1993; 2017,yes,yes
Melozone biarcuata,"Melozone biarcuata, Melozone biarcuatum",2,Dataset aou_6 (1983); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2004; 2017,no,yes
Pelecanus californicus,Pelecanus californicus,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931),1886; 1931,yes,no
Cyanocorax sanblasianus,Cyanocorax sanblasianus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Ortalis vetula,"Ortalis vetula maccalli, Ortalis vetula",2,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 1985; 2017,yes,yes
Aethia psittacula,"Cyclorrhynchus psittacula, Cyclorrhynchus psittaculus, Aethia psittacula, Phaleris psittacula",4,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; 1957; February 1982; 1997; 2017,yes,yes
Drepanis pacifica,Drepanis pacifica,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Empidonomus varius,Empidonomus varius,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Petrochelidon fulva,"Petrochelidon fulva, Hirundo fulva",2,Dataset aou_1_03 (1891); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1891; 1957; January 1982; February 1982; 1997; 1998; 2017,no,yes
Spinus dominicensis,"Carduelis dominicensis, Spinus dominicensis",2,Dataset aou_6 (1983); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2009; 2017,no,yes
Aethia cristatella,"Aethia cristatella, Simorhynchus cristatellus",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes
Myiophobus fasciatus,Myiophobus fasciatus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Toxostoma redivivum,"Harporhynchus redivivus, Toxostoma redivivum",2,Checklist aou_1.csv (1886); Dataset aou_2_11 (1902); Dataset aou_3 (1910); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1902; 1910; February 1982; 2017,yes,yes
Tangara icterocephala,Tangara icterocephala,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Buteo nitidus,"Asturina nitida, Buteo nitidus, Buteo nitida, Asturina plagiata",4,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_4_19 (1944); Dataset aou_4_25 (1950); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7_47 (2006); Dataset aou_7_53 (2012); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; 1944; 1950; 1957; February 1982; 1997; 2006; 2012; 2017,yes,yes
Tringa incana,"Heteractitis incanus, Heteroscelus incanus, Heteroscelus incanum, Tringa incana",4,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1920; 1931; 1957; 1973; February 1982; 2006; 2017,yes,yes
Spizelloides arborea,"Spizella monticola, Spizella monticola ochracea, Spizelloides arborea, Spizella arborea",4,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_56 (2015); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; January 1982; February 1982; 2015; 2017,yes,yes
Pterodroma madeira,Pterodroma madeira,1,Dataset aou_7_56 (2015); Checklist NACC_list_species_aou_7_57.csv (2017),2015; 2017,no,yes
Melanitta americana,Melanitta americana,1,Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),2010; 2017,no,yes
Notharchus tectus,"Bucco tectus, Notharchus tectus",2,Dataset aou_6 (1983); Dataset aou_6_39 (1993); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1993; 2017,no,yes
Habia fuscicauda,Habia fuscicauda,1,Dataset aou_6 (1983); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2009; 2017,no,yes
Melopsittacus undulatus,Melopsittacus undulatus,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Falco columbarius,"Falco columbarius suckleyi, Falco columbarius",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4_21 (1946); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1946; January 1982; February 1982; 2017,yes,yes
Jacana spinosa,"Jacana spinosa, Jacana gymnostoma",2,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_2 (1895); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1895; 1957; January 1982; February 1982; 2017,yes,yes
Calidris falcinellus,"Limicola falcinellus, Calidris falcinellus",2,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_54 (2013); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2013; 2017,no,yes
Geotrygon martinica,Geotrygon martinica,1,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897),1886; 1897,yes,no
Strix nebulosa,"Scotiaptex nebulosa, Ulula cinerea, Scotiaptex cinerea, Ulula cinerea lapponica, Strix nebulosa",5,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_2_12 (1903); Dataset aou_2_14 (1908); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1903; 1908; 1944; February 1982; 2017,yes,yes
Myrmotherula pacifica,Myrmotherula pacifica,1,Dataset aou_7_42 (2000); Checklist NACC_list_species_aou_7_57.csv (2017),2000; 2017,no,yes
Eupherusa eximia,Eupherusa eximia,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Plegadis falcinellus,"Plegadis falcinellus, Plegadis autumnalis",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1923; 1931; 1957; February 1982; 2017,yes,yes
Phoenicopterus ruber,Phoenicopterus ruber,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_49 (2008); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1957; January 1982; February 1982; 2008; 2017,yes,yes
Tachycineta euchrysea,Tachycineta euchrysea,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Aphelocoma sordida,"Aphelocoma sieberi, Aphelocoma sieberii, Aphelocoma sordida, Aphelocoma sieberii arizonae",4,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_4_22 (1947),1886; 1910; 1944; 1947,yes,no
Phalaropus tricolor,"Phalaropus tricolor, Steganopus tricolor",2,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1931; January 1982; February 1982; 2017,yes,yes
Hylorchilus navai,Hylorchilus navai,1,Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1997; 2017,no,yes
Setophaga adelaidae,"Setophaga adelaidae, Dendroica adelaidae",2,Dataset aou_6 (1983); Dataset aou_7_42 (2000); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2000; 2011; 2017,no,yes
Herpsilochmus rufimarginatus,Herpsilochmus rufimarginatus,1,Dataset aou_6 (1983); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1997; 2017,no,yes
Pterodroma fisheri,"Aestrelata fisheri, Pterodroma fisheri",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_3_18 (1923); Dataset aou_4 (1931),1886; 1920; 1923; 1931,yes,no
Philortyx fasciatus,Philortyx fasciatus,1,Dataset aou_6 (1983); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1997; 2017,no,yes
Carpodectes antoniae,Carpodectes antoniae,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Dixiphia pipra,"Dixiphia pipra, Pipra pipra",2,Dataset aou_6 (1983); Dataset aou_7_54 (2013); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2013; 2017,no,yes
Casmerodius alba,Casmerodius alba,1,Dataset aou_4 (1931),1931,no,no
Columbina passerina,"Chaemepelia passerina, Chaemepellia passerina, Columbigallina passerina, Columbina passerina",4,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1910; 1931; 1973; January 1982; February 1982; 2017,yes,yes
Thalassarche cauta,"Thalassarche cauta, Diomedea cauta",2,Dataset aou_4_28 (1953); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7_55 (2014); Checklist NACC_list_species_aou_7_57.csv (2017),1953; 1957; January 1982; February 1982; 1997; 2014; 2017,no,yes
Ramphocelus flammigerus,Ramphocelus flammigerus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Damophila julie,Damophila julie,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Glaucidium phaloenoides,"Glaucidium phalaenoides, Glaucidium phaloenoides",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4 (1931),1886; 1908; 1910; 1931,yes,no
Myiobius villosus,Myiobius villosus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Xanthoura luxuosa,Xanthoura luxuosa,1,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944),1886; 1944,yes,no
Cercomacroides tyrannina,"Cercomacra tyrannina, Cercomacroides tyrannina",2,Dataset aou_6 (1983); Dataset aou_6_41 (1997); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1997; 2016; 2017,no,yes
Columbina inca,"Scardafella inca, Columbina inca",2,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes
Somateria mollissima,Somateria mollissima,1,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_1_02 (1890); Dataset aou_2 (1895); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1890; 1895; 1931; 1944; 1957; February 1982; 2017,yes,yes
Mimus graysoni,"Mimus graysoni, Mimodes graysoni",2,Dataset aou_6 (1983); Dataset aou_7_46 (2005); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2005; 2017,no,yes
Anas americana,"Anas americana, Mareca americana",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1957; 1973; February 1982; 2017,yes,yes
Puffinus baroli,Puffinus baroli,1,Dataset aou_7_54 (2013); Checklist NACC_list_species_aou_7_57.csv (2017),2013; 2017,no,yes
Phaethon aethereus,Phaethon aethereus,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1931; 1957; January 1982; February 1982; 2017,yes,yes
Ortalis wagleri,Ortalis wagleri,1,Dataset aou_6_38 (1991); Checklist NACC_list_species_aou_7_57.csv (2017),1991; 2017,no,yes
Amphispiza bilineata,Amphispiza bilineata,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes
Trochilus violajugulum,Trochilus violajugulum,1,Dataset aou_1_01 (1889); Dataset aou_2_10 (1901),1889; 1901,no,no
Psilorhinus morio,"Cyanocorax morio, Psilorhinus morio",2,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2010; 2017,no,yes
Gymnorhinus cyanocephalus,"Gymnorhinus cyanocephalus, Cyanocephalus cyanocephalus, Gymnorhinus cyanocephala",3,Checklist aou_1.csv (1886); Dataset aou_4_22 (1947); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1947; 1957; 1973; February 1982; 1983; 2017,yes,yes
Bucephala albeola,"Charitonetta albeola, Bucephala albeola, Glaucionetta albeola",3,Checklist aou_1.csv (1886); Dataset aou_4_20 (1945); Dataset aou_4_23 (1948); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1945; 1948; 1957; February 1982; 2017,yes,yes
Fulmarus rodgersi,Fulmarus rodgersi,1,Dataset aou_2_10 (1901); Dataset aou_3_18 (1923); Dataset aou_4 (1931),1901; 1923; 1931,no,no
Thamnophilus punctatus,Thamnophilus punctatus,1,Dataset aou_6 (1983); Dataset aou_6_41 (1997),1983; 1997,no,no
Vermivora chrysoptera,"Helminthophila chrysoptera, Vermivora chrysoptera",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1920; 1957; January 1982; February 1982; 1983; 2017,yes,yes
Philydor rufum,"Philydor rufum, Philydor rufus",2,Dataset aou_6 (1983); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2004; 2017,no,yes
Pseudoscops clamator,"Pseudoscops clamator, Asio clamator, Pseudocops clamator",3,Dataset aou_6 (1983); Dataset aou_6_41 (1997); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1997; 1998; 2017,no,yes
Peucaea cassinii,"Peucaea cassinii, Aimophila cassini, Peucaea cassini, Aimophila cassinii",4,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; January 1982; February 1982; 2010; 2017,yes,yes
Rhynchocyclus olivaceus,Rhynchocyclus olivaceus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Nannus meliger,"Nannus meliger, Anorthura meligera, Nannus meligerus, Olbiorchilus meligerus",4,Dataset aou_2_10 (1901); Dataset aou_2_11 (1902); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4 (1931),1901; 1902; 1908; 1910; 1931,no,no
Akialoa stejnegeri,Akialoa stejnegeri,1,Dataset aou_7_56 (2015); Checklist NACC_list_species_aou_7_57.csv (2017),2015; 2017,no,yes
Thalasseus elegans,"Thalasseus elegans, Sterna elegans",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1976; February 1982; 2006; 2017,yes,yes
Phaethon lepturus,Phaethon lepturus,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1957; January 1982; February 1982; 2017,no,yes
Passer domesticus,Passer domesticus,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1957; January 1982; February 1982; 2017,no,yes
Thamnophilus nigriceps,Thamnophilus nigriceps,1,Dataset aou_6 (1983); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1997; 2017,no,yes
Butorides striata,"Butorides striatus, Butorides striata",2,Dataset aou_5_33 (1976); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_39 (1993); Dataset aou_7_44 (2003); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1976; January 1982; February 1982; 1993; 2003; 2004; 2017,no,yes
Elanus leucurus,Elanus leucurus,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_5_34 (January 1982); Dataset aou_6_39 (1993); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; January 1982; 1993; 2017,yes,yes
Gavia immer,"Urinator imber, Gavia immer, Gavia imber",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1908; 1931; February 1982; 2017,yes,yes
Chasiempis sandwichensis,Chasiempis sandwichensis,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 1983; 2010; 2017,no,yes
Vireo flavifrons,"Vireo flavifrons, Lanivireo flavifrons",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; February 1982; 2017,yes,yes
Rhodinocichla rosea,Rhodinocichla rosea,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Motacilla ocularis,Motacilla ocularis,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931),1886; 1931,yes,no
Todus todus,Todus todus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Cyanolyca nana,Cyanolyca nana,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Heterospingus rubrifrons,Heterospingus rubrifrons,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Empidonax traillii,"Empidonax pusillus, Empidonax trailli, Empidonax pusillus traillii, Empidonax traillii",4,Checklist aou_1.csv (1886); Dataset aou_2 (1895); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; 1910; 1931; 1944; 1957; 1973; February 1982; 2017,yes,yes
Euodice cantans,"Euodice cantans, Lonchura cantans",2,Dataset aou_7_42 (2000); Dataset aou_7_55 (2014); Checklist NACC_list_species_aou_7_57.csv (2017),2000; 2014; 2017,no,yes
Arremonops chloronotus,Arremonops chloronotus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
