id,name,names_in_dataset,all_names_in_cluster,name_cluster_id,starts_with,ends_with,is_ongoing,first_added_dataset,first_added_year,annotation,common_name,datasets.id,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
592921c5-0979-41ec-93b5-48030be545b9,(not found in dataset),,Dryobates arizonae,9205f8c8-e61f-4037-a9b2-db784da6e4bf,"Dryobates stricklandi -> Dryobates stricklandi + Dryobates arizonae [split, aou_1_01 (1889)]","Dryobates stricklandi -> Dryobates stricklandi + Dryobates arizonae [split, aou_1_01 (1889)]",no,aou_1_01 (1889),1889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10def95b-5640-4e79-b05b-4fb938cba574,Picoides arizonae,Picoides arizonae,Picoides arizonae; Dryobates arizonae; Dendrocopos arizonae,9205f8c8-e61f-4037-a9b2-db784da6e4bf,"Dryobates stricklandi -> Dryobates stricklandi + Dryobates arizonae [split, aou_1_01 (1889)]","Picoides arizonae + Picoides stricklandi -> Picoides stricklandi [lump, aou_5_34 (January 1982)]",no,aou_1_01 (1889),1889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9412f7e2-d40c-4f8e-97b9-cceeec3c0b12,Picoides arizonae,Picoides arizonae,Picoides arizonae,9205f8c8-e61f-4037-a9b2-db784da6e4bf,"Picoides arizonae + Picoides stricklandi -> Picoides stricklandi [lump, aou_5_34 (January 1982)]","Picoides stricklandi -> Picoides arizonae + Picoides stricklandi [split, aou_7_42 (2000)]",no,aou_5_34 (January 1982),1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
d5497e49-15bc-425a-b293-d93f53a2e81e,Picoides arizonae,Picoides arizonae,Picoides arizonae,9205f8c8-e61f-4037-a9b2-db784da6e4bf,"Picoides stricklandi -> Picoides arizonae + Picoides stricklandi [split, aou_7_42 (2000)]",,no,aou_7_42 (2000),2000,NA,Arizona Woodpecker,965,Picidae,Pic d'Arizona,Picoides,Piciformes,species,NA,Picoides arizonae,NA,NA,NA,NA,NA,NA,Picinae
6f72716c-d9fc-4240-af02-2dc8cf030fb9,Stercorarius pomarinus,Stercorarius pomarinus,Stercorarius pomarinus,5721df4d-32b7-48c5-abe5-4feeece2e0d2,added Stercorarius pomarinus,,no,aou_1.csv (1886),1886,Monotypic.,Pomarine Jaeger,36; 510,Stercorariidae,Labbe pomarin,Stercorarius,Charadriiformes,species,Stercorarius pomarinus,Stercorarius pomarinus,NA,NA,NA,NA,NA,NA,NA
1ff580c0-baf5-47ef-92c6-19f01ad54f9a,Helmitheros vermivorum,Helmitheros vermivorum,Helmitheros vermivorum; Helmitherus vermivorus; Helmitheros vermivorus,c7922e0d-32eb-4308-b924-ccab3dfb5076,added Helmitherus vermivorus,,no,aou_1.csv (1886),1886,Monotypic.,Worm-eating Warbler,1578; 639,Parulidae,Paruline vermivore,Helmitheros,Passeriformes,species,Helmitherus vermivorus; Helmitheros vermivorus,Helmitheros vermivorum,NA,NA,NA,NA,NA,NA,NA
bf5b10a2-5f77-4efe-ba88-7f99b0f1c3b4,Lanius ludovicianus,Lanius ludovicianus,Lanius ludovicianus; Lanius ludovicianus excubitorides,b94f4ffc-950d-45bf-92c4-6508dd00cad6,added Lanius ludovicianus excubitorides; added Lanius ludovicianus,,no,aou_1.csv (1886),1886,NA,Loggerhead Shrike,622a; 622; 1230,Laniidae,Pie-grièche migratrice,Lanius,Passeriformes,species,Lanius ludovicianus; Lanius ludovicianus excubitorides,Lanius ludovicianus,NA,NA,NA,NA,NA,NA,NA
37fb3af3-8955-49b6-b26a-95ca5e576cb0,Alle alle,Alle alle,Alle alle; Plautus alle,8fcef2db-7761-4477-9436-b887458ef641,added Alle alle,,no,aou_1.csv (1886),1886,NA,Dovekie,34; 513,Alcidae,Mergule nain,Alle,Charadriiformes,species,Alle alle,Alle alle,NA,NA,NA,NA,NA,NA,NA
48cadcf2-1dda-4b3e-ab9f-9864c2664391,Podilymbus podiceps,Podilymbus podiceps,Podilymbus podiceps,396d002f-5282-491d-be9b-487397edf7de,added Podilymbus podiceps,,no,aou_1.csv (1886),1886,NA,Pied-billed Grebe,6; 138,Podicipedidae,Grèbe à bec bigarré,Podilymbus,Podicipediformes,species,Podilymbus podiceps,Podilymbus podiceps,NA,NA,NA,NA,NA,NA,NA
8826f5de-965c-424b-9630-7fac132136db,Gymnogyps californianus,Gymnogyps californianus,Gymnogyps californianus; Pseudogryphus californianus,43fda218-d106-4de3-b3ac-3bd410af024b,added Pseudogryphus californianus,,no,aou_1.csv (1886),1886,Monotypic.,California Condor,324; 258,Cathartidae,Condor de Californie,Gymnogyps,Cathartiformes,species,Gymnogyps californianus; Pseudogryphus californianus,Gymnogyps californianus,NA,NA,NA,NA,NA,NA,NA
b2f8d0a3-646d-4437-be86-0e73036c34e5,Somateria spectabilis,Somateria spectabilis,Somateria spectabilis,e1ecbb4b-c19b-4a83-b676-d109d3a6a86d,added Somateria spectabilis,,no,aou_1.csv (1886),1886,Monotypic.,King Eider,59; 162,Anatidae,Eider à tête grise,Somateria,Anseriformes,species,Somateria spectabilis,Somateria spectabilis,NA,NA,NA,NA,NA,NA,Anatinae
d5568735-8d52-4c9d-ae81-f8ceb4d7a3be,Pyrocephalus rubinus,Pyrocephalus rubinus,Pyrocephalus rubinus; Pyrocephalus rubineus; Pyrocephalus rubineus mexicanus,2cfb90da-8e7e-47b0-88fb-0dbc8a74bae7,added Pyrocephalus rubineus mexicanus,,no,aou_1.csv (1886),1886,NA,Vermilion Flycatcher,1156; 471,Tyrannidae,Moucherolle vermillon,Pyrocephalus,Passeriformes,species,Pyrocephalus rubinus; Pyrocephalus rubineus mexicanus,Pyrocephalus rubinus,NA,NA,NA,NA,NA,NA,Fluvicolinae
2013040b-0dd8-49af-b575-fb7d68cb5016,Setophaga kirtlandii,Setophaga kirtlandii,Setophaga kirtlandii; Dendroica kirtlandii; Dendroica kirtlandi,e3e25139-6fb9-4a9e-80c0-2a268b02fde2,added Dendroica kirtlandi,,no,aou_1.csv (1886),1886,Monotypic.,Kirtland's Warbler,1564; 670,Parulidae,Paruline de Kirtland,Setophaga,Passeriformes,species,Dendroica kirtlandii; Dendroica kirtlandi,Setophaga kirtlandii,NA,NA,NA,NA,NA,NA,NA
5363b790-f542-44fb-8de2-fd73a130af02,Setophaga citrina,Setophaga citrina,Sylvania mitrata; Wilsonia citrina; Setophaga citrina; Wilsonia mitrata,462b66f9-4065-4b02-9581-6ef6aae53c1b,added Sylvania mitrata,,no,aou_1.csv (1886),1886,Monotypic.,Hooded Warbler,684; 1600,Parulidae,Paruline à capuchon,Setophaga,Passeriformes,species,Sylvania mitrata; Wilsonia citrina,Setophaga citrina,NA,NA,NA,NA,NA,NA,NA
bbc595b4-bae8-4bf3-9680-fbebb17e3c8b,Pelecanus thagus,Pelecanus thagus,Pelecanus thagus,b82f4ea7-ad8f-473f-9f60-409f74e7bbdb,"Pelecanus occidentalis -> Pelecanus occidentalis + Pelecanus thagus [split, aou_7_49 (2008)]",,no,aou_7_49 (2008),2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bbc595b4-bae8-4bf3-9680-fbebb17e3c8b,Pelecanus thagus,Pelecanus thagus,Pelecanus thagus,b82f4ea7-ad8f-473f-9f60-409f74e7bbdb,"Pelecanus occidentalis -> Pelecanus occidentalis + Pelecanus thagus [split, aou_7_49 (2008)]",,no,aou_7_49 (2008),2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2c676523-675a-477f-8abf-42f5e8fc02ce,Ardenna tenuirostris,Ardenna tenuirostris,Ardenna tenuirostris; Puffinus tenuirostris,c24326bf-6e5e-474c-a17b-089aef1a0f97,added Puffinus tenuirostris,,no,aou_1.csv (1886),1886,Monotypic.,Short-tailed Shearwater,96; 175,Procellariidae,Puffin à bec grêle,Ardenna,Procellariiformes,species,Puffinus tenuirostris,Ardenna tenuirostris,NA,NA,NA,NA,NA,N,NA
0eb8c575-a53e-4656-8614-4988a1da6b58,Tringa incana,Tringa incana,Heteractitis incanus; Heteroscelus incanus; Tringa incana; Heteroscelus incanum,823a770c-2350-4f01-ba00-2cca91e140e1,added Heteractitis incanus,,no,aou_1.csv (1886),1886,Monotypic. Referred to as <i> Heterosceles incanus</i> by Clements (2000) and Howard and Moore (2003).,Wandering Tattler,401; 259,Scolopacidae,Chevalier errant,Tringa,Charadriiformes,species,Heteractitis incanus; Heteroscelus incanus,Tringa incana,NA,NA,NA,NA,NA,NA,Tringinae
7e773b89-dd83-4205-b6a2-55bc11d9bb96,Haemorhous cassinii,Haemorhous cassinii,Carpodacus cassini; Carpodacus cassinii; Haemorhous cassinii,19986f0e-db48-451e-9c2f-ba524e689f92,added Carpodacus cassini,,no,aou_1.csv (1886),1886,Monotypic.,Cassin's Finch,10361; 518,Fringillidae,Roselin de Cassin,Haemorhous,Passeriformes,species,Carpodacus cassini; Carpodacus cassinii,Haemorhous cassinii,NA,NA,NA,NA,NA,NA,Carduelinae
641c037f-ff3a-4a6e-8007-5d997fd55d89,Synthliboramphus antiquus,Synthliboramphus antiquus,Synthliboramphus antiquus; Synthliboramphus antiquum,81df14f9-aa39-427e-9e8c-fa1d4295ebad,added Synthliboramphus antiquus,,no,aou_1.csv (1886),1886,NA,Ancient Murrelet,525; 21,Alcidae,Guillemot à cou blanc,Synthliboramphus,Charadriiformes,species,Synthliboramphus antiquus,Synthliboramphus antiquus,NA,NA,NA,NA,NA,NA,NA
9b57bccc-a17d-4232-a73a-e6a71aa01c0f,Strix occidentalis,Strix occidentalis,Syrnium occidentale; Strix occidentalis,bee162e3-a739-44ca-9b1d-0c201d95bf07,added Syrnium occidentale,,no,aou_1.csv (1886),1886,NA,Spotted Owl,695; 369,Strigidae,Chouette tachetée,Strix,Strigiformes,species,Syrnium occidentale; Strix occidentalis,Strix occidentalis,NA,NA,NA,NA,NA,NA,NA
03f88893-8aa9-4ef1-978f-bd80eb9354ad,Vermivora cyanoptera,Vermivora cyanoptera,Vermivora pinus; Vermivora cyanoptera; Helminthophila pinus,95eb9f10-44bb-4e62-aec3-b0f25f5aedea,added Helminthophila pinus,,no,aou_1.csv (1886),1886,Monotypic.,Blue-winged Warbler,1533; 641,Parulidae,Paruline à ailes bleues,Vermivora,Passeriformes,species,Vermivora pinus; Helminthophila pinus,Vermivora cyanoptera,NA,NA,NA,NA,NA,NA,NA
3e28d5a8-4ac0-4e27-b8f5-e8007ac3225e,Coturnicops noveboracensis,Coturnicops noveboracensis,Coturnicops noveboracensis; Porzana noveboracensis,73cf5518-543e-47ba-9672-b68937d89476,added Porzana noveboracensis,,no,aou_1.csv (1886),1886,NA,Yellow Rail,333; 215,Rallidae,Râle jaune,Coturnicops,Gruiformes,species,Coturnicops noveboracensis; Porzana noveboracensis,Coturnicops noveboracensis,NA,NA,NA,NA,NA,NA,NA
0b4bfdd1-f1bf-4600-8bed-75fbac07975e,Falco peregrinus,Falco peregrinus,Falco peregrinus anatum; Falco peregrinus pealei; Falco peregrinus,5a102df3-e8ac-421f-9d53-2fc6cb509262,added Falco peregrinus pealei; added Falco peregrinus anatum,,no,aou_1.csv (1886),1886,NA,Peregrine Falcon,331; 356; 356a,Falconidae,Faucon pèlerin,Falco,Falconiformes,species,Falco peregrinus anatum; Falco peregrinus pealei; Falco peregrinus,Falco peregrinus,NA,NA,NA,NA,NA,NA,Falconinae
4e775a8b-864c-480a-98b0-fa950a542011,(not found in dataset),,Arquatella maritima; Tringa maritima,c3380f11-4a94-446f-8c21-54611f6109fb,added Tringa maritima,"Arquatella ptilocnemis + Arquatella maritima + Arquatella couesi -> Arquatella maritima [lump, aou_2_14 (1908)]",no,aou_1.csv (1886),1886,NA,NA,235,NA,NA,NA,NA,NA,Tringa maritima,NA,NA,NA,NA,NA,NA,NA,NA
fc8ae1f8-1f58-4888-be8d-ba6495d00253,(not found in dataset),,Arquatella maritima,c3380f11-4a94-446f-8c21-54611f6109fb,"Arquatella ptilocnemis + Arquatella maritima + Arquatella couesi -> Arquatella maritima [lump, aou_2_14 (1908)]","Arquatella maritima -> Arquatella ptilocnemis + Arquatella maritima [split, aou_4 (1931)]",no,aou_2_14 (1908),1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ed173b78-87d7-483f-bfff-778054748ef5,Calidris maritima,Calidris maritima,Arquatella maritima; Calidris maritima; Erolia maritima,c3380f11-4a94-446f-8c21-54611f6109fb,"Arquatella maritima -> Arquatella ptilocnemis + Arquatella maritima [split, aou_4 (1931)]",,no,aou_4 (1931),1931,"Recognized as monotypic by del Hoyo et al. (1992), Clements (2000) and BNA. Howard and Moore (2003) recognizes 3 subspecies: <i></>C.m. belcheri, C.m....",Purple Sandpiper,440,Scolopacidae,Bécasseau violet,Calidris,Charadriiformes,species,Calidris maritima,Calidris maritima,NA,NA,NA,NA,NA,NA,Arenariinae
0b069833-223e-4c55-b7f0-bdc7a6260fd3,Leucosticte arctoa,Leucosticte arctoa,Leucosticte arctoa,8c20e2d5-5d7b-4a55-976f-1cdb360084fe,"Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]","Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]",no,aou_5_34 (January 1982),1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
be8f35cc-86f8-425e-85a8-2010c86fc655,Leucosticte arctoa,Leucosticte arctoa,Leucosticte arctoa,8c20e2d5-5d7b-4a55-976f-1cdb360084fe,"Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]","Leucosticte arctoa -> Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis [split, aou_6_39 (1993)]",no,aou_5_34 (January 1982),1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60268e4d-61d4-4646-9010-4c995c6cc717,Leucosticte arctoa,Leucosticte arctoa,Leucosticte arctoa,8c20e2d5-5d7b-4a55-976f-1cdb360084fe,"Leucosticte arctoa -> Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis [split, aou_6_39 (1993)]",,no,aou_6_39 (1993),1993,NA,Asian Rosy-Finch,10711,Fringillidae,Roselin brun,Leucosticte,Passeriformes,species,NA,Leucosticte arctoa,A,NA,NA,NA,NA,NA,Carduelinae
bce78107-488e-4501-bee1-f1158df2c2fc,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,08b7659b-63a7-450c-9b1c-f2e3b9698f9c,added Pelecanus erythrorhynchos,,no,aou_1.csv (1886),1886,Monotypic.,American White Pelican,125; 205,Pelecanidae,Pélican d'Amérique,Pelecanus,Pelecaniformes,species,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,NA,NA,NA,NA,NA,NA,NA
