index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,perfect_reversions,perfect_reversions_summary,perfect_reversion_count,perfectly_reverts_a_previous_change,perfectly_reverts_a_later_change
119,split,Corvus brachyrhynchos,"Corvus brachyrhynchos, Corvus caurinus",aou_4_20 (1945),1945,"Corvus brachyrhynchos -> Corvus brachyrhynchos + Corvus caurinus [split, aou_4_20 (1945)]","Corvus brachyrhynchos + Corvus caurinus -> Corvus brachyrhynchos [lump, aou_3_18 (1923)]",1,yes,no,"Corvus brachyrhynchos + Corvus caurinus -> Corvus brachyrhynchos [lump, aou_3_18 (1923)]",lump (1923) -> split (1945) [starting with change id 460c8d8a-c4bb-497b-a808-babc4ac658cb],1,yes,no
120,lump,"Oceanodroma leucorhoa, Oceanodroma soccoroensis",Oceanodroma leucorhoa,aou_4_21 (1946),1946,"Oceanodroma leucorhoa + Oceanodroma soccoroensis -> Oceanodroma leucorhoa [lump, aou_4_21 (1946)]","Oceanodroma leucorhoa -> Oceanodroma leucorhoa + Oceanodroma socorroensis + Oceanodroma cheimomnestes [split, aou_7_57 (2016)]",1,no,yes,,,0,no,no
121,lump,"Falco aesalon, Falco columbarius",Falco columbarius,aou_4_21 (1946),1946,"Falco aesalon + Falco columbarius -> Falco columbarius [lump, aou_4_21 (1946)]",,0,no,no,,,0,no,no
122,lump,"Trogon elegans, Trogon ambiguus",Trogon elegans,aou_4_22 (1947),1947,"Trogon elegans + Trogon ambiguus -> Trogon elegans [lump, aou_4_22 (1947)]",,0,no,no,,,0,no,no
123,lump,"Aphelocoma ultramarina, Aphelocoma sordida",Aphelocoma ultramarina,aou_4_22 (1947),1947,"Aphelocoma ultramarina + Aphelocoma sordida -> Aphelocoma ultramarina [lump, aou_4_22 (1947)]",,0,no,no,,,0,no,no
124,lump,"Quiscalus versicolor, Quiscalus quiscula",Quiscalus quiscula,aou_4_23 (1948),1948,"Quiscalus versicolor + Quiscalus quiscula -> Quiscalus quiscula [lump, aou_4_23 (1948)]","Quiscalus quiscula -> Quiscalus versicolor + Quiscalus quiscula [split, aou_4_19 (1944)]",1,yes,no,"Quiscalus quiscula -> Quiscalus versicolor + Quiscalus quiscula [split, aou_4_19 (1944)]",split (1944) -> lump (1948) [starting with change id 7c4f3ac4-b79e-4c12-8a20-42d6a9c36d2f],1,yes,no
125,split,Melanitta fusca,"Melanitta fusca, Melanitta deglandi",aou_4_24 (1949),1949,"Melanitta fusca -> Melanitta fusca + Melanitta deglandi [split, aou_4_24 (1949)]","Melanitta fusca + Melanitta deglandi -> Melanitta fusca [lump, aou_4_19 (1944)]; Melanitta fusca + Melanitta deglandi -> Melanitta fusca [lump, aou_5_34 (January 1982)]",2,yes,yes,"Melanitta fusca + Melanitta deglandi -> Melanitta fusca [lump, aou_4_19 (1944)]; Melanitta fusca + Melanitta deglandi -> Melanitta fusca [lump, aou_5_34 (January 1982)]",lump (1944) -> split (1949) -> lump (1982) [starting with change id a6ebdc52-72db-4149-92e4-da94d2e002d2],2,yes,yes
126,lump,"Puffinus opisthomelas, Puffinus puffinus",Puffinus puffinus,aou_4_25 (1950),1950,"Puffinus opisthomelas + Puffinus puffinus -> Puffinus puffinus [lump, aou_4_25 (1950)]",,0,no,no,,,0,no,no
127,split,Branta bernicla,"Branta nigricans, Branta bernicla",aou_4_26 (1951),1951,"Branta bernicla -> Branta nigricans + Branta bernicla [split, aou_4_26 (1951)]","Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_4_19 (1944)]; Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_5_33 (1976)]",2,yes,yes,"Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_4_19 (1944)]; Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_5_33 (1976)]",lump (1944) -> split (1951) -> lump (1976) [starting with change id ae525464-9779-4522-b91e-8ad8f538521c],2,yes,yes
128,lump,"Anser brachyrhynchus, Anser fabalis",Anser fabalis,aou_4_27 (1952),1952,"Anser brachyrhynchus + Anser fabalis -> Anser fabalis [lump, aou_4_27 (1952)]",,0,no,no,,,0,no,no
129,lump,"Empidonax wrightii, Empidonax oberholseri",Empidonax oberholseri,aou_4_28 (1953),1953,"Empidonax wrightii + Empidonax oberholseri -> Empidonax oberholseri [lump, aou_4_28 (1953)]","Empidonax oberholseri -> Empidonax wrightii + Empidonax oberholseri [split, aou_5_34 (January 1982)]",1,no,yes,"Empidonax oberholseri -> Empidonax wrightii + Empidonax oberholseri [split, aou_5_34 (January 1982)]",lump (1953) -> split (1982) [starting with change id fd981b16-7d00-4dbf-b5c4-1fe7bf4c3f54],1,no,yes
130,split,Limnodromus griseus,"Limnodromus griseus, Limnodromus scolopaceus",aou_4_29 (1954),1954,"Limnodromus griseus -> Limnodromus griseus + Limnodromus scolopaceus [split, aou_4_29 (1954)]",,0,no,no,,,0,no,no
131,lump,"Pipilo erythrophthalmus, Pipilo maculatus",Pipilo erythrophthalmus,aou_4_29 (1954),1954,"Pipilo erythrophthalmus + Pipilo maculatus -> Pipilo erythrophthalmus [lump, aou_4_29 (1954)]","Pipilo erythrophthalmus -> Pipilo erythrophthalmus + Pipilo maculatus [split, aou_6_40 (1995)]",1,no,yes,"Pipilo erythrophthalmus -> Pipilo erythrophthalmus + Pipilo maculatus [split, aou_6_40 (1995)]",lump (1954) -> split (1995) [starting with change id 7d6b700b-8e8e-4e34-ad7e-56ef8fd4d6cd],1,no,yes
132,lump,"Canachites franklinii, Canachites canadensis",Canachites canadensis,aou_4_30 (1955),1955,"Canachites franklinii + Canachites canadensis -> Canachites canadensis [lump, aou_4_30 (1955)]",,0,no,no,,,0,no,no
133,split,Progne subis,"Progne cryptoleuca, Progne subis",aou_4_31 (1956),1956,"Progne subis -> Progne cryptoleuca + Progne subis [split, aou_4_31 (1956)]","Progne cryptoleuca + Progne subis -> Progne subis [lump, aou_4_19 (1944)]",1,yes,no,"Progne cryptoleuca + Progne subis -> Progne subis [lump, aou_4_19 (1944)]",lump (1944) -> split (1956) [starting with change id 07a8234d-9ab9-49dc-b365-5d0f2ce6a869],1,yes,no
134,split,Charadrius hiaticula,"Charadrius semipalmatus, Charadrius hiaticula",aou_4_31 (1956),1956,"Charadrius hiaticula -> Charadrius semipalmatus + Charadrius hiaticula [split, aou_4_31 (1956)]","Charadrius semipalmatus + Charadrius hiaticula -> Charadrius hiaticula [lump, aou_4_19 (1944)]",1,yes,no,"Charadrius semipalmatus + Charadrius hiaticula -> Charadrius hiaticula [lump, aou_4_19 (1944)]",lump (1944) -> split (1956) [starting with change id 8da58ed8-3bfb-47d4-a059-5f53efa4aff7],1,yes,no
135,lump,"Ardea herodias, Ardea occidentalis",Ardea herodias,aou_5_32 (1973),1973,"Ardea herodias + Ardea occidentalis -> Ardea herodias [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
136,lump,"Chen caerulescens, Chen hyperborea",Chen caerulescens,aou_5_32 (1973),1973,"Chen caerulescens + Chen hyperborea -> Chen caerulescens [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
137,lump,"Buteo harlani, Buteo jamaicensis",Buteo jamaicensis,aou_5_32 (1973),1973,"Buteo harlani + Buteo jamaicensis -> Buteo jamaicensis [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
138,split,Alectoris graeca,"Alectoris chukar, Alectoris graeca",aou_5_32 (1973),1973,"Alectoris graeca -> Alectoris chukar + Alectoris graeca [split, aou_5_32 (1973)]",,0,no,no,,,0,no,no
139,lump,"Colaptes auratus, Colaptes chrysoides, Colaptes cafer",Colaptes auratus,aou_5_32 (1973),1973,"Colaptes auratus + Colaptes chrysoides + Colaptes cafer -> Colaptes auratus [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
140,split,Empidonax traillii,"Empidonax alnorum, Empidonax traillii",aou_5_32 (1973),1973,"Empidonax traillii -> Empidonax alnorum + Empidonax traillii [split, aou_5_32 (1973)]",,0,no,no,,,0,no,no
141,lump,"Anas crecca, Anas carolinensis",Anas crecca,aou_5_32 (1973),1973,"Anas crecca + Anas carolinensis -> Anas crecca [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
142,lump,"Turdus migratorius, Turdus confinis",Turdus migratorius,aou_5_32 (1973),1973,"Turdus migratorius + Turdus confinis -> Turdus migratorius [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
143,lump,"Psaltriparus minimus, Psaltriparus melanotis",Psaltriparus minimus,aou_5_32 (1973),1973,"Psaltriparus minimus + Psaltriparus melanotis -> Psaltriparus minimus [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
144,lump,"Carpodacus amplus, Carpodacus mexicanus, Carpodacus mcgregori",Carpodacus mexicanus,aou_5_32 (1973),1973,"Carpodacus amplus + Carpodacus mexicanus + Carpodacus mcgregori -> Carpodacus mexicanus [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
145,lump,"Junco oreganus, Junco insularis, Junco hyemalis, Junco aikeni",Junco hyemalis,aou_5_32 (1973),1973,"Junco oreganus + Junco insularis + Junco hyemalis + Junco aikeni -> Junco hyemalis [lump, aou_5_32 (1973)]","Junco hyemalis -> Junco insularis + Junco hyemalis [split, aou_7_55 (2014)]",1,no,yes,,,0,no,no
146,lump,"Ammospiza mirabilis, Ammospiza maritima, Ammospiza nigrescens",Ammospiza maritima,aou_5_32 (1973),1973,"Ammospiza mirabilis + Ammospiza maritima + Ammospiza nigrescens -> Ammospiza maritima [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
147,lump,"Parula graysoni, Parula pitiayumi",Parula pitiayumi,aou_5_32 (1973),1973,"Parula graysoni + Parula pitiayumi -> Parula pitiayumi [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
148,lump,"Dendroica auduboni, Dendroica coronata",Dendroica coronata,aou_5_32 (1973),1973,"Dendroica auduboni + Dendroica coronata -> Dendroica coronata [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
149,lump,"Coereba bahamensis, Coereba flaveola",Coereba flaveola,aou_5_32 (1973),1973,"Coereba bahamensis + Coereba flaveola -> Coereba flaveola [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
150,split,Cassidix mexicanus,"Cassidix major, Cassidix mexicanus",aou_5_32 (1973),1973,"Cassidix mexicanus -> Cassidix major + Cassidix mexicanus [split, aou_5_32 (1973)]","Megaquiscalus major + Cassidix mexicanus -> Cassidix mexicanus [lump, aou_4 (1931)]",1,yes,no,"Megaquiscalus major + Cassidix mexicanus -> Cassidix mexicanus [lump, aou_4 (1931)]",lump (1931) -> split (1973) [starting with change id 04c1d3a3-9bd9-40a6-9319-675a65f89ef6],1,yes,no
151,lump,"Icterus bullockii, Icterus galbula",Icterus galbula,aou_5_32 (1973),1973,"Icterus bullockii + Icterus galbula -> Icterus galbula [lump, aou_5_32 (1973)]","Icterus galbula -> Icterus bullockii + Icterus galbula + Icterus abeillei [split, aou_6_40 (1995)]",1,no,yes,,,0,no,no
152,lump,"Junco bairdi, Junco phaeonotus",Junco phaeonotus,aou_5_32 (1973),1973,"Junco bairdi + Junco phaeonotus -> Junco phaeonotus [lump, aou_5_32 (1973)]",,0,no,no,,,0,no,no
153,lump,"Ammospiza leconteii, Passerherbulus caudacutus",Ammospiza leconteii,aou_5_32 (1973),1973,"Ammospiza leconteii + Passerherbulus caudacutus -> Ammospiza leconteii [lump, aou_5_32 (1973)]","Passerherbulus lecontei -> Passerherbulus lecontei + Passerherbulus caudacutus [split, aou_4 (1931)]",1,yes,no,"Passerherbulus lecontei -> Passerherbulus lecontei + Passerherbulus caudacutus [split, aou_4 (1931)]",split (1931) -> lump (1973) [starting with change id 60059c98-629f-471e-a226-1e2ffff3f5ed],1,yes,no
154,lump,"Butorides striatus, Butorides virescens",Butorides striatus,aou_5_33 (1976),1976,"Butorides striatus + Butorides virescens -> Butorides striatus [lump, aou_5_33 (1976)]","Butorides striatus -> Butorides striatus + Butorides virescens [split, aou_6_39 (1993)]",1,no,yes,"Butorides striatus -> Butorides striatus + Butorides virescens [split, aou_6_39 (1993)]",lump (1976) -> split (1993) [starting with change id ef94bef7-8dbd-4cc5-8d18-0e55184709c7],1,no,yes
155,lump,"Parus atricristatus, Parus bicolor",Parus bicolor,aou_5_33 (1976),1976,"Parus atricristatus + Parus bicolor -> Parus bicolor [lump, aou_5_33 (1976)]","Baeolophus bicolor -> Baeolophus bicolor + Baeolophus atricristatus [split, aou_7_43 (2002)]",1,no,yes,,,0,no,no
156,lump,"Branta nigricans, Branta bernicla",Branta bernicla,aou_5_33 (1976),1976,"Branta nigricans + Branta bernicla -> Branta bernicla [lump, aou_5_33 (1976)]","Branta bernicla -> Branta nigricans + Branta bernicla [split, aou_4_26 (1951)]",1,yes,no,"Branta bernicla -> Branta nigricans + Branta bernicla [split, aou_4_26 (1951)]",split (1951) -> lump (1976) [starting with change id 5ffb8f73-4cde-48af-9873-0af1583a7693],1,yes,no
157,lump,"Corvus corone, Corvus cornix",Corvus corone,aou_5_33 (1976),1976,"Corvus corone + Corvus cornix -> Corvus corone [lump, aou_5_33 (1976)]",,0,no,no,,,0,no,no
158,lump,"Melanitta fusca, Melanitta deglandi",Melanitta fusca,aou_5_34 (January 1982),1982,"Melanitta fusca + Melanitta deglandi -> Melanitta fusca [lump, aou_5_34 (January 1982)]","Melanitta fusca -> Melanitta fusca + Melanitta deglandi [split, aou_4_24 (1949)]",1,yes,no,"Melanitta fusca -> Melanitta fusca + Melanitta deglandi [split, aou_4_24 (1949)]",split (1949) -> lump (1982) [starting with change id 10b03adc-5aa1-4700-b983-174dc5a55aa2],1,yes,no
159,lump,"Elanus leucurus, Elanus caeruleus",Elanus caeruleus,aou_5_34 (January 1982),1982,"Elanus leucurus + Elanus caeruleus -> Elanus caeruleus [lump, aou_5_34 (January 1982)]","Elanus caeruleus -> Elanus leucurus + Elanus caeruleus [split, aou_6_39 (1993)]",1,no,yes,"Elanus caeruleus -> Elanus leucurus + Elanus caeruleus [split, aou_6_39 (1993)]",lump (1982) -> split (1993) [starting with change id 93e99f46-538a-4e06-80c5-ebf2d987280b],1,no,yes
160,lump,"Polyborus plancus, Caracara cheriway",Polyborus plancus,aou_5_34 (January 1982),1982,"Polyborus plancus + Caracara cheriway -> Polyborus plancus [lump, aou_5_34 (January 1982)]",,0,no,no,,,0,no,no
161,split,Sterna albifrons,"Sterna albifrons, Sterna antillarum",aou_5_34 (January 1982),1982,"Sterna albifrons -> Sterna albifrons + Sterna antillarum [split, aou_5_34 (January 1982)]","Sterna albifrons + Sterna antillarum -> Sterna albifrons [lump, aou_4_19 (1944)]",1,yes,no,"Sterna albifrons + Sterna antillarum -> Sterna albifrons [lump, aou_4_19 (1944)]",lump (1944) -> split (1982) [starting with change id 59fdd8c1-a38c-4807-90fe-e0ba3e04627e],1,yes,no
162,lump,"Picoides arizonae, Picoides stricklandi",Picoides stricklandi,aou_5_34 (January 1982),1982,"Picoides arizonae + Picoides stricklandi -> Picoides stricklandi [lump, aou_5_34 (January 1982)]","Dryobates stricklandi -> Dryobates stricklandi + Dryobates arizonae [split, aou_1_01 (1889)]; Picoides stricklandi -> Picoides arizonae + Picoides stricklandi [split, aou_7_42 (2000)]",2,yes,yes,"Picoides stricklandi -> Picoides arizonae + Picoides stricklandi [split, aou_7_42 (2000)]",lump (1982) -> split (2000) [starting with change id 309a4986-5798-4cee-b919-a18f7524ffe8],1,no,yes
163,lump,"Leucosticte atrata, Leucosticte australis, Leucosticte arctoa, Leucosticte tephrocotis",Leucosticte arctoa,aou_5_34 (January 1982),1982,"Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]","Leucosticte arctoa -> Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis [split, aou_6_39 (1993)]",1,no,yes,"Leucosticte arctoa -> Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis [split, aou_6_39 (1993)]",lump (1982) -> split (1993) [starting with change id d2b0950e-11f6-4ca1-b3b1-b94e78726a87],1,no,yes
164,split,Empidonax oberholseri,"Empidonax wrightii, Empidonax oberholseri",aou_5_34 (January 1982),1982,"Empidonax oberholseri -> Empidonax wrightii + Empidonax oberholseri [split, aou_5_34 (January 1982)]","Empidonax wrightii + Empidonax oberholseri -> Empidonax oberholseri [lump, aou_4_28 (1953)]",1,yes,no,"Empidonax wrightii + Empidonax oberholseri -> Empidonax oberholseri [lump, aou_4_28 (1953)]",lump (1953) -> split (1982) [starting with change id fd981b16-7d00-4dbf-b5c4-1fe7bf4c3f54],1,yes,no
165,split,Aechmophorus occidentalis,"Aechmophorus occidentalis, Aechmophorus clarkii",aou_6_35 (1985),1985,"Aechmophorus occidentalis -> Aechmophorus occidentalis + Aechmophorus clarkii [split, aou_6_35 (1985)]",,0,no,no,,,0,no,no
166,split,Gavia arctica,"Gavia pacifica, Gavia arctica",aou_6_35 (1985),1985,"Gavia arctica -> Gavia pacifica + Gavia arctica [split, aou_6_35 (1985)]","Gavia pacifica + Gavia arctica -> Gavia arctica [lump, aou_4 (1931)]",1,yes,no,"Gavia pacifica + Gavia arctica -> Gavia arctica [lump, aou_4 (1931)]",lump (1931) -> split (1985) [starting with change id 8733f3c7-36b5-4da0-b9d0-67ff53eec561],1,yes,no
167,split,Ortalis vetula,"Ortalis vetula, Ortalis leucogastra",aou_6_35 (1985),1985,"Ortalis vetula -> Ortalis vetula + Ortalis leucogastra [split, aou_6_35 (1985)]",,0,no,no,,,0,no,no
168,split,Sphyrapicus varius,"Sphyrapicus nuchalis, Sphyrapicus varius",aou_6_35 (1985),1985,"Sphyrapicus varius -> Sphyrapicus nuchalis + Sphyrapicus varius [split, aou_6_35 (1985)]",,0,no,no,,,0,no,no
169,split,Vireo olivaceus,"Vireo flavoviridis, Vireo olivaceus",aou_6_36 (1987),1987,"Vireo olivaceus -> Vireo flavoviridis + Vireo olivaceus [split, aou_6_36 (1987)]",,0,no,no,,,0,no,no
170,split,Polioptila melanura,"Polioptila californica, Polioptila melanura",aou_6_37 (1989),1989,"Polioptila melanura -> Polioptila californica + Polioptila melanura [split, aou_6_37 (1989)]","Polioptila californica + Polioptila melanura -> Polioptila melanura [lump, aou_4 (1931)]",1,yes,no,"Polioptila californica + Polioptila melanura -> Polioptila melanura [lump, aou_4 (1931)]",lump (1931) -> split (1989) [starting with change id ef3a3855-a6eb-4f54-92e3-6583991be696],1,yes,no
171,split,Anthus spinoletta,"Anthus spinoletta, Anthus rubescens",aou_6_37 (1989),1989,"Anthus spinoletta -> Anthus spinoletta + Anthus rubescens [split, aou_6_37 (1989)]","Anthus spinoletta + Anthus rubescens -> Anthus spinoletta [lump, aou_4 (1931)]",1,yes,no,"Anthus spinoletta + Anthus rubescens -> Anthus spinoletta [lump, aou_4 (1931)]",lump (1931) -> split (1989) [starting with change id 7756eb10-cde6-4b1c-8906-c4001dffe0e4],1,yes,no
172,split,Empidonax difficilis,"Empidonax difficilis, Empidonax occidentalis",aou_6_37 (1989),1989,"Empidonax difficilis -> Empidonax difficilis + Empidonax occidentalis [split, aou_6_37 (1989)]",,0,no,no,,,0,no,no
173,split,Pipilo fuscus,"Pipilo crissalis, Pipilo fuscus",aou_6_37 (1989),1989,"Pipilo fuscus -> Pipilo crissalis + Pipilo fuscus [split, aou_6_37 (1989)]","Pipilo crissalis + Pipilo fuscus -> Pipilo fuscus [lump, aou_4 (1931)]",1,yes,no,"Pipilo crissalis + Pipilo fuscus -> Pipilo fuscus [lump, aou_4 (1931)]",lump (1931) -> split (1989) [starting with change id 33b9e240-e69d-4ae6-975a-cc7039750055],1,yes,no
174,split,Butorides striatus,"Butorides striatus, Butorides virescens",aou_6_39 (1993),1993,"Butorides striatus -> Butorides striatus + Butorides virescens [split, aou_6_39 (1993)]","Butorides striatus + Butorides virescens -> Butorides striatus [lump, aou_5_33 (1976)]",1,yes,no,"Butorides striatus + Butorides virescens -> Butorides striatus [lump, aou_5_33 (1976)]",lump (1976) -> split (1993) [starting with change id ef94bef7-8dbd-4cc5-8d18-0e55184709c7],1,yes,no
175,split,Elanus caeruleus,"Elanus leucurus, Elanus caeruleus",aou_6_39 (1993),1993,"Elanus caeruleus -> Elanus leucurus + Elanus caeruleus [split, aou_6_39 (1993)]","Elanus leucurus + Elanus caeruleus -> Elanus caeruleus [lump, aou_5_34 (January 1982)]",1,yes,no,"Elanus leucurus + Elanus caeruleus -> Elanus caeruleus [lump, aou_5_34 (January 1982)]",lump (1982) -> split (1993) [starting with change id 93e99f46-538a-4e06-80c5-ebf2d987280b],1,yes,no
176,split,Pluvialis dominica,"Pluvialis dominica, Pluvialis fulva",aou_6_39 (1993),1993,"Pluvialis dominica -> Pluvialis dominica + Pluvialis fulva [split, aou_6_39 (1993)]",,0,no,no,,,0,no,no
177,split,Leucosticte arctoa,"Leucosticte atrata, Leucosticte australis, Leucosticte arctoa, Leucosticte tephrocotis",aou_6_39 (1993),1993,"Leucosticte arctoa -> Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis [split, aou_6_39 (1993)]","Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]",1,yes,no,"Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]",lump (1982) -> split (1993) [starting with change id d2b0950e-11f6-4ca1-b3b1-b94e78726a87],1,yes,no
178,split,Larus argentatus,"Larus argentatus, Larus cachinnans",aou_6_39 (1993),1993,"Larus argentatus -> Larus argentatus + Larus cachinnans [split, aou_6_39 (1993)]",,0,no,no,,,0,no,no
179,split,Aphelocoma coerulescens,"Aphelocoma californica, Aphelocoma insularis, Aphelocoma coerulescens",aou_6_40 (1995),1995,"Aphelocoma coerulescens -> Aphelocoma californica + Aphelocoma insularis + Aphelocoma coerulescens [split, aou_6_40 (1995)]","Aphelocoma californica + Aphelocoma coerulescens -> Aphelocoma coerulescens [lump, aou_4_19 (1944)]; Aphelocoma insularis + Aphelocoma coerulescens -> Aphelocoma coerulescens [lump, aou_4_19 (1944)]",2,yes,no,,,0,no,no
180,split,Ammodramus caudacutus,"Ammodramus caudacutus, Ammodramus nelsoni",aou_6_40 (1995),1995,"Ammodramus caudacutus -> Ammodramus caudacutus + Ammodramus nelsoni [split, aou_6_40 (1995)]","Passerherbulus nelsoni + Passerherbulus caudacutus -> Passerherbulus caudacutus [lump, aou_4 (1931)]",1,yes,no,,,0,no,no
181,split,Pipilo erythrophthalmus,"Pipilo erythrophthalmus, Pipilo maculatus",aou_6_40 (1995),1995,"Pipilo erythrophthalmus -> Pipilo erythrophthalmus + Pipilo maculatus [split, aou_6_40 (1995)]","Pipilo erythrophthalmus + Pipilo maculatus -> Pipilo erythrophthalmus [lump, aou_4_29 (1954)]",1,yes,no,"Pipilo erythrophthalmus + Pipilo maculatus -> Pipilo erythrophthalmus [lump, aou_4_29 (1954)]",lump (1954) -> split (1995) [starting with change id 7d6b700b-8e8e-4e34-ad7e-56ef8fd4d6cd],1,yes,no
182,split,Icterus galbula,"Icterus bullockii, Icterus galbula, Icterus abeillei",aou_6_40 (1995),1995,"Icterus galbula -> Icterus bullockii + Icterus galbula + Icterus abeillei [split, aou_6_40 (1995)]","Icterus bullockii + Icterus galbula -> Icterus galbula [lump, aou_5_32 (1973)]",1,yes,no,,,0,no,no
183,split,Catharus minimus,"Catharus bicknelli, Catharus minimus",aou_6_40 (1995),1995,"Catharus minimus -> Catharus bicknelli + Catharus minimus [split, aou_6_40 (1995)]",,0,no,no,,,0,no,no
184,split,Oxyura jamaicensis,"Oxyura jamaicensis, Oxyura ferruginea",aou_6_41 (1997),1997,"Oxyura jamaicensis -> Oxyura jamaicensis + Oxyura ferruginea [split, aou_6_41 (1997)]",,0,no,no,,,0,no,no
185,split,Anas acuta,"Anas eatoni, Anas acuta",aou_6_41 (1997),1997,"Anas acuta -> Anas eatoni + Anas acuta [split, aou_6_41 (1997)]",,0,no,no,,,0,no,no
186,split,Vireo solitarius,"Vireo cassinii, Vireo solitarius, Vireo plumbeus",aou_6_41 (1997),1997,"Vireo solitarius -> Vireo cassinii + Vireo solitarius + Vireo plumbeus [split, aou_6_41 (1997)]",,0,no,no,,,0,no,no
187,split,Baeolophus inornatus,"Baeolophus ridgwayi, Baeolophus inornatus",aou_6_41 (1997),1997,"Baeolophus inornatus -> Baeolophus ridgwayi + Baeolophus inornatus [split, aou_6_41 (1997)]",,0,no,no,,,0,no,no
188,split,Petrochelidon fulva,"Petrochelidon rufocollaris, Petrochelidon fulva",aou_6_41 (1997),1997,"Petrochelidon fulva -> Petrochelidon rufocollaris + Petrochelidon fulva [split, aou_6_41 (1997)]",,0,no,no,,,0,no,no
189,split,Agelaius phoeniceus,"Agelaius phoeniceus, Agelaius assimilis",aou_6_41 (1997),1997,"Agelaius phoeniceus -> Agelaius phoeniceus + Agelaius assimilis [split, aou_6_41 (1997)]",,0,no,no,,,0,no,no
190,split,Brachyramphus marmoratus,"Brachyramphus perdix, Brachyramphus marmoratus",aou_6_41 (1997),1997,"Brachyramphus marmoratus -> Brachyramphus perdix + Brachyramphus marmoratus [split, aou_6_41 (1997)]",,0,no,no,,,0,no,no
191,split,Sula dactylatra,"Sula dactylatra, Sula granti",aou_7_42 (2000),2000,"Sula dactylatra -> Sula dactylatra + Sula granti [split, aou_7_42 (2000)]",,0,no,no,,,0,no,no
192,split,Centrocercus urophasianus,"Centrocercus urophasianus, Centrocercus minimus",aou_7_42 (2000),2000,"Centrocercus urophasianus -> Centrocercus urophasianus + Centrocercus minimus [split, aou_7_42 (2000)]",,0,no,no,,,0,no,no
193,split,Picoides stricklandi,"Picoides arizonae, Picoides stricklandi",aou_7_42 (2000),2000,"Picoides stricklandi -> Picoides arizonae + Picoides stricklandi [split, aou_7_42 (2000)]","Picoides arizonae + Picoides stricklandi -> Picoides stricklandi [lump, aou_5_34 (January 1982)]",1,yes,no,"Picoides arizonae + Picoides stricklandi -> Picoides stricklandi [lump, aou_5_34 (January 1982)]",lump (1982) -> split (2000) [starting with change id 309a4986-5798-4cee-b919-a18f7524ffe8],1,yes,no
194,split,Pica pica,"Pica hudsonia, Pica pica",aou_7_42 (2000),2000,"Pica pica -> Pica hudsonia + Pica pica [split, aou_7_42 (2000)]",,0,no,no,,,0,no,no
195,split,Caracara plancus,"Caracara plancus, Caracara lutosa, Caracara cheriway",aou_7_42 (2000),2000,"Caracara plancus -> Caracara plancus + Caracara lutosa + Caracara cheriway [split, aou_7_42 (2000)]",,0,no,no,,,0,no,no
196,split,Gallinago gallinago,"Gallinago gallinago, Gallinago delicata",aou_7_43 (2002),2002,"Gallinago gallinago -> Gallinago gallinago + Gallinago delicata [split, aou_7_43 (2002)]","Capella gallinago + Capella delicata -> Capella gallinago [lump, aou_4_20 (1945)]",1,yes,no,"Capella gallinago + Capella delicata -> Capella gallinago [lump, aou_4_20 (1945)]",lump (1945) -> split (2002) [starting with change id fa970a7b-e86c-477d-89c1-a5e2efc92f95],1,yes,no
197,split,Baeolophus bicolor,"Baeolophus bicolor, Baeolophus atricristatus",aou_7_43 (2002),2002,"Baeolophus bicolor -> Baeolophus bicolor + Baeolophus atricristatus [split, aou_7_43 (2002)]","Parus atricristatus + Parus bicolor -> Parus bicolor [lump, aou_5_33 (1976)]",1,yes,no,,,0,no,no
198,split,Loxia leucoptera,"Loxia leucoptera, Loxia megaplaga",aou_7_44 (2003),2003,"Loxia leucoptera -> Loxia leucoptera + Loxia megaplaga [split, aou_7_44 (2003)]",,0,no,no,,,0,no,no
