name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Acanthis flammea,"Acanthis linaria rostrata, Acanthis flammea, Acanthis linaria, Carduelis flammea, Acanthis linaria holboellii",5,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; 1957; 1976; February 1982; 2009; 2017,yes,yes,yes,Avibase: rename
Acanthis hornemanni,"Acanthis hornemannii exilipes, Acanthis hornemanni, Carduelis hornemanni, Acanthis hornemannii",4,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1931; 1976; February 1982; 2009; 2017,yes,yes,no,
Accipiter cooperii,"Accipiter cooperi, Accipiter cooperii",2,Checklist aou_1.csv (1886); Dataset aou_2 (1895); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; 1909; 1910; 1923; 1944; February 1982; 2017,yes,yes,no,
Accipiter gentilis,Accipiter gentilis,1,Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1944; 1957; January 1982; February 1982; 2017,no,yes,no,
Accipiter striatus,"Accipiter striatus, Accipiter velox",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; 1944; February 1982; 2017,yes,yes,yes,Avibase: rename
Acridotheres cristatellus,"Acridotheres cristatellus, Aethiopsar cristatellus",2,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7_46 (2005),1931; 1944; 1957; February 1982; 2005,no,no,no,
Actitis macularius,"Actitis macularia, Actitis macularius",2,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Dataset aou_7_45 (2004); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2004; 2017,yes,yes,no,
Adamastor cinereus,"Priofinus cinereus, Puffinus cinereus, Adamastor cinereus",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982),1886; 1899; 1923; 1931; January 1982,yes,no,no,
Aechmophorus clarkii,Aechmophorus clarkii,1,Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1985; 2017,no,yes,no,
Aechmophorus occidentalis,Aechmophorus occidentalis,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1957; February 1982; 1985; 2017,yes,yes,no,
Aegolius acadicus,"Aegolius acadicus, Cryptoglaux acadicus, Aegolius acadica, Glaux acadicus, Nyctala acadica, Cryptoglaux acadica",6,Checklist aou_1.csv (1886); Dataset aou_2_13 (1904); Dataset aou_2_14 (1908); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4_22 (1947); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1904; 1908; 1909; 1910; 1947; 1957; January 1982; February 1982; 2017,yes,yes,no,
Aegolius funereus,"Glaux funerea, Cryptoglaux funerea, Nyctala tengmalmi, Aegolius funerea, Nyctala tengmalmi richardsoni, Aegolius funereus, Cryptoglaux tengmalmi",7,Checklist aou_1.csv (1886); Dataset aou_2_13 (1904); Dataset aou_2_14 (1908); Dataset aou_2_15 (1909); Dataset aou_4_22 (1947); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1904; 1908; 1909; 1947; 1957; February 1982; 2017,yes,yes,yes,Avibase: rename
Aeronautes saxatalis,"Micropus melanoleucus, Aeronautes melanoleucus, Aeronautes saxatalis",3,Checklist aou_1.csv (1886); Dataset aou_1_05 (1893); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1893; 1931; 1957; February 1982; 2017,yes,yes,yes,Avibase: rename
Aethia cristatella,"Aethia cristatella, Simorhynchus cristatellus",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Aethia psittacula,"Cyclorrhynchus psittacula, Cyclorrhynchus psittaculus, Aethia psittacula, Phaleris psittacula",4,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; 1957; February 1982; 1997; 2017,yes,yes,no,
Aethia pusilla,"Aethia pusilla, Simorhynchus pusillus",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Aethia pygmaea,"Simorhynchus pygmaeus, Aethia pygmaea",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Agelaius assimilis,Agelaius assimilis,1,Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1997; 2017,no,yes,no,
Agelaius gubernator,Agelaius gubernator,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931),1886; 1909; 1931,yes,no,no,
Agelaius humeralis,Agelaius humeralis,1,Dataset aou_4_20 (1945); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1945; January 1982; February 1982; 1983; 2017,no,yes,no,
Agelaius phoeniceus,Agelaius phoeniceus,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1957; January 1982; February 1982; 1983; 1997; 2017,yes,yes,no,
Agelaius tricolor,Agelaius tricolor,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1957; January 1982; February 1982; 1983; 2017,yes,yes,no,
Aimophila ruficeps,"Peucaea ruficeps eremoeca, Aimophila ruficeps, Peucaea ruficeps, Peucaea ruficeps boucardi",4,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; January 1982; February 1982; 2010; 2017,yes,yes,no,
Aix sponsa,Aix sponsa,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Alauda arvensis,Alauda arvensis,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 1995; 2017,yes,yes,no,
Alca torda,Alca torda,1,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; February 1982; 2017,yes,yes,no,
Alectoris chukar,Alectoris chukar,1,Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1973; February 1982; 2017,no,yes,no,
Alectoris graeca,Alectoris graeca,1,Dataset aou_4_28 (1953); Dataset aou_5 (1957); Dataset aou_5_32 (1973),1953; 1957; 1973,no,no,no,
Alle alle,"Alle alle, Plautus alle",2,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; 1973; February 1982; 2017,yes,yes,no,
Amazilia salvini,"Uranomitra salvini, Amazilia salvini",2,Dataset aou_2_14 (1908); Dataset aou_3_18 (1923); Dataset aou_4_20 (1945); Dataset aou_4_21 (1946),1908; 1923; 1945; 1946,no,no,no,
Amazilia tzacatl,"Amazilis tzacatl, Amazilia fuscicaudata, Amazilia tzacatl, Amazilis fuscicaudata",4,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_1_02 (1890); Dataset aou_2 (1895); Dataset aou_2_10 (1901); Dataset aou_3 (1910); Dataset aou_3_18 (1923); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1890; 1895; 1901; 1910; 1923; January 1982; February 1982; 2017,yes,yes,yes,Avibase: rename
Amazilia violiceps,"Amazilia violiceps, Amazilia verticalis",2,Dataset aou_4_23 (1948); Dataset aou_4_30 (1955); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1948; 1955; 1957; January 1982; February 1982; 2017,no,yes,yes,Avibase: rename
Amazilia yucatanensis,"Amazilia yucatanensis, Amazilia cerviniventris, Amazilis cerviniventris",3,Checklist aou_1.csv (1886); Dataset aou_2_10 (1901); Dataset aou_3_18 (1923); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1901; 1923; February 1982; 2017,yes,yes,yes,Avibase: rename
Ammodramus bairdii,"Ammodramus bairdii, Ammodramus bairdi, Coturniculus bairdii",3,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1909; 1910; 1944; January 1982; February 1982; 2017,yes,yes,no,
Ammodramus caudacutus,"Passerherbulus caudacuta, Ammodramus caudacutus, Ammodramus caudacutus nelsoni, Passerherbulus caudacutus, Ammospiza caudacuta",5,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_40 (1995); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1909; 1931; 1957; 1973; January 1982; February 1982; 1995; 2009; 2017,yes,yes,no,
Ammodramus henslowii,"Ammodramus henslowii, Passerherbulus henslowi, Passerherbulus henslowii",3,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1910; 1944; 1973; January 1982; February 1982; 2017,yes,yes,no,
Ammodramus leconteii,"Ammodramus leconteii, Ammospiza leconteii, Passerherbulus lecontei",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1909; 1910; 1931; 1973; January 1982; February 1982; 1983; 2017,yes,yes,no,
Ammodramus maritimus,"Ammodramus maritimus, Ammospiza maritima, Passerherbulus maritimus",3,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1931; 1973; January 1982; February 1982; 2017,yes,yes,no,
Ammodramus nelsoni,"Passerherbulus nelsoni, Ammodramus nelsoni",2,Dataset aou_2_09 (1899); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_3_16 (1912); Dataset aou_3_17 (1920); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_6_40 (1995); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1899; 1909; 1910; 1912; 1920; 1923; 1931; 1995; 2009; 2017,no,yes,no,
Ammodramus sanctorum,Ammodramus sanctorum,1,Dataset aou_2_08 (1897); Dataset aou_2_11 (1902),1897; 1902,no,no,no,
Ammodramus savannarum,"Ammodramus savannarum perpallidus, Ammodramus savannarum passerinus, Ammodramus savannarum, Coturniculus savannarum",4,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_2_15 (1909); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1909; January 1982; February 1982; 2017,yes,yes,no,
Ammospiza mirabilis,Ammospiza mirabilis,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_32 (1973),1931; 1957; 1973,no,no,no,
Ammospiza nigrescens,"Ammodramus nigrescens, Ammospiza nigrescens, Passerherbulus nigrescens",3,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_5_32 (1973),1886; 1909; 1931; 1973,yes,no,no,
Amphispiza bilineata,Amphispiza bilineata,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Amphispiza nevadensis,Amphispiza nevadensis,1,Dataset aou_2_14 (1908); Dataset aou_4_19 (1944),1908; 1944,no,no,no,
Anas acuta,"Dafila acuta, Anas acuta",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_4_29 (1954); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; 1954; January 1982; February 1982; 1997; 1998; 2017,yes,yes,no,
Anas americana,"Anas americana, Mareca americana",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1957; 1973; February 1982; 2017,yes,yes,no,
Anas bahamensis,"Anas bahamensis, Dafila bahamensis",2,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; 1957; January 1982; February 1982; 2017,no,yes,no,
Anas carolinensis,"Nettion carolinense, Anas carolinensis, Nettion carolinensis",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_5_32 (1973),1886; 1899; 1910; 1944; 1973,yes,no,no,
Anas clypeata,"Spatula clypeata, Anas clypeata",2,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; 1973; January 1982; February 1982; 2017,yes,yes,no,
Anas crecca,"Nettion crecca, Anas crecca",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1944; 1957; 1973; February 1982; 2017,yes,yes,no,
Anas cyanoptera,"Quequerdula cyanoptera, Anas cyanoptera, Querquedula cyanoptera",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1931; 1944; February 1982; 2017,yes,yes,no,
Anas diazi,Anas diazi,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982),1931; 1957; January 1982,no,no,no,
Anas discors,"Querquedula discors, Anas discors",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1944; February 1982; 2017,yes,yes,no,
Anas eatoni,Anas eatoni,1,Dataset aou_6_41 (1997),1997,no,yes,no,
Anas falcata,"Anas falcata, Eunetta falcata",2,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; February 1982; 1997; 2017,no,yes,no,
Anas formosa,"Nettion formosum, Anas formosa",2,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; February 1982; 2017,no,yes,no,
Anas fulvigula,Anas fulvigula,1,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; February 1982; 2017,yes,yes,no,
Anas penelope,"Anas penelope, Mareca penelope",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_15 (1909); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1909; 1973; January 1982; February 1982; 2017,yes,yes,no,
Anas platyrhynchos,"Anas platyrhynchos, Anas boschas",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,yes,Avibase: rename
Anas rubripes,"Anas rubripes, Anas obscura",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; January 1982; February 1982; 2017,yes,yes,yes,Avibase: rename
Anas strepera,"Chaulelasmus streperus, Anas strepera",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4_21 (1946); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1946; February 1982; 2017,yes,yes,no,
Anhinga anhinga,Anhinga anhinga,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1957; February 1982; 2017,yes,yes,no,
Anous stolidus,Anous stolidus,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; January 1982; February 1982; 2017,yes,yes,no,
Anser albifrons,"Anser albifrons, Anser albifrons gambeli",2,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1931; January 1982; February 1982; 2017,yes,yes,no,
Anser brachyrhynchus,Anser brachyrhynchus,1,Dataset aou_2_14 (1908); Dataset aou_4_27 (1952); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1908; 1952; January 1982; February 1982; 2017,no,yes,no,
Anser fabalis,Anser fabalis,1,Dataset aou_3 (1910); Dataset aou_4_20 (1945); Dataset aou_4_23 (1948); Dataset aou_4_27 (1952); Checklist aou_5_34.csv (February 1982); Dataset aou_7_48 (2007); Checklist NACC_list_species_aou_7_57.csv (2017),1910; 1945; 1948; 1952; February 1982; 2007; 2017,no,yes,no,
Anser serrirostris,Anser serrirostris,1,Dataset aou_7_48 (2007); Checklist NACC_list_species_aou_7_57.csv (2017),2007; 2017,no,yes,no,
Anthus cervinus,Anthus cervinus,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Anthus gustavi,Anthus gustavi,1,Dataset aou_4_20 (1945); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1945; 1957; February 1982; 2017,no,yes,no,
Anthus pratensis,Anthus pratensis,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982),1886; January 1982,yes,no,no,
Anthus rubescens,"Anthus rubescens, Anthus pensilvanicus",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_6_37 (1989); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; 1931; 1989; 2017,yes,yes,yes,Avibase: rename
Anthus spinoletta,Anthus spinoletta,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_37 (1989),1931; 1957; February 1982; 1989,no,no,no,
Anthus spragueii,"Anthus spragueii, Anthus spraguei",2,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1944; February 1982; 2017,yes,yes,no,
Antigone canadensis,"Grus canadensis, Antigone canadensis",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; February 1982; 2016; 2017,yes,yes,no,
Antrostomus carolinensis,"Antrostomus carolinensis, Caprimulgus carolinensis",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7_53 (2012); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; 1957; February 1982; 2012; 2017,yes,yes,no,
Antrostomus vociferus,"Caprimulgus vociferus, Antrostomus vociferus, Antrostomus vociferus arizonae",3,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Dataset aou_7_53 (2012); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; February 1982; 2010; 2012; 2017,yes,yes,no,
Aphelocoma californica,Aphelocoma californica,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_6_40 (1995); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; 1995; 2016; 2017,yes,yes,no,
Aphelocoma coerulescens,"Aphelocoma cyanea, Aphelocoma floridana, Aphelocoma coerulescens",3,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1931; 1944; 1957; February 1982; 1995; 2017,yes,yes,yes,Avibase: rename
Aphelocoma cyanotis,Aphelocoma cyanotis,1,Dataset aou_1_07 (1895); Dataset aou_4 (1931),1895; 1931,no,no,no,
Aphelocoma insularis,Aphelocoma insularis,1,Dataset aou_1_01 (1889); Dataset aou_2 (1895); Dataset aou_4_19 (1944); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),1889; 1895; 1944; 1995; 2017,no,yes,no,
Aphelocoma sordida,"Aphelocoma sieberi, Aphelocoma sieberii, Aphelocoma sordida, Aphelocoma sieberii arizonae",4,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_4_22 (1947),1886; 1910; 1944; 1947,yes,no,yes,Avibase: rename
Aphelocoma texana,Aphelocoma texana,1,Dataset aou_2_11 (1902); Dataset aou_3 (1910); Dataset aou_4 (1931),1902; 1910; 1931,no,no,no,
Aphelocoma ultramarina,Aphelocoma ultramarina,1,Dataset aou_4_22 (1947); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_40 (1995); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1947; 1957; January 1982; February 1982; 1995; 2011; 2017,no,yes,no,
Aphelocoma wollweberi,Aphelocoma wollweberi,1,Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),2011; 2017,no,yes,no,
Aphelocoma woodhouseii,"Aphelocoma woodhouseii, Aphelocoma woodhousei",2,Checklist aou_1.csv (1886); Dataset aou_2 (1895); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_7_57 (2016); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; 1910; 1931; 2016; 2017,yes,yes,no,
Apus apus,Apus apus,1,Dataset aou_4_31 (1956); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1956; 1957; February 1982; 2017,no,yes,no,
Apus pacificus,"Apus pacificus, Micropus pacificus",2,Dataset aou_4 (1931); Dataset aou_4_23 (1948); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1948; 1957; January 1982; February 1982; 2017,no,yes,no,
Aquila chrysaetos,Aquila chrysaetos,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; 1931; February 1982; 2017,yes,yes,no,
Aramus guarauna,"Aramus giganteus, Aramus pictus, Aramus vociferus, Aramus guarauna",4,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_4_20 (1945); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; 1945; February 1982; 2017,yes,yes,yes,Avibase: rename
