name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Ortalis vetula,"Ortalis vetula maccalli, Ortalis vetula",2,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 1985; 2017,yes,yes,no,
Otus xantusi,"Megascops xantusi, Otus xantusi",2,Dataset aou_2_12 (1903); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_3_18 (1923),1903; 1908; 1910; 1923,no,no,no,
Oxyura ferruginea,Oxyura ferruginea,1,Dataset aou_6_41 (1997),1997,no,yes,no,
Oxyura jamaicensis,"Erismatura jamaicensis, Erismatura rubida, Oxyura jamaicensis",3,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_4_22 (1947); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1947; February 1982; 1997; 2017,yes,yes,yes,Avibase: rename
Pachyramphus aglaiae,"Platypsaris albiventris, Pachyramphus aglaiae, Platypsaris aglaiae",3,Dataset aou_1_02 (1890); Dataset aou_2 (1895); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_6_35 (1985); Dataset aou_6_41 (1997); Dataset aou_7 (1998); Dataset aou_7_44 (2003); Dataset aou_7_45 (2004); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1890; 1895; 1908; 1957; January 1982; February 1982; 1983; 1985; 1997; 1998; 2003; 2004; 2011; 2017,no,yes,yes,Avibase: rename
Pagophila eburnea,"Gavia alba, Pagophila alba, Pagophila eburnea",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1944; February 1982; 2017,yes,yes,yes,Avibase: rename
Pandion haliaetus,"Pandion haliaetus carolinensis, Pandion haliaetus",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1910; 1931; 1944; February 1982; 1983; 2010; 2017,yes,yes,no,
Parabuteo unicinctus,"Parabuteo unicinctus, Parabuteo unicinctus harrisi",2,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; 1957; February 1982; 1998; 2017,yes,yes,no,
Parkesia motacilla,"Seiurus motacilla, Parkesia motacilla",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1957; January 1982; February 1982; 1983; 2010; 2017,yes,yes,no,
Parkesia noveboracensis,"Parkesia noveboracensis, Seiurus noveboracensis, Seiurus noveboracensis notabilis",3,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1931; 1957; January 1982; February 1982; 1983; 2010; 2017,yes,yes,no,
Parula graysoni,"Parula graysoni, Compsothlypis graysoni",2,Dataset aou_4 (1931); Dataset aou_4_22 (1947); Dataset aou_5 (1957); Dataset aou_5_32 (1973),1931; 1947; 1957; 1973,no,no,no,
Passer domesticus,Passer domesticus,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1957; January 1982; February 1982; 2017,no,yes,no,
Passer montanus,Passer montanus,1,Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; January 1982; February 1982; 2017,no,yes,no,
Passerculus beldingi,"Passerculus beldingi, Ammodramus beldingi",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_2_15 (1909); Dataset aou_4_19 (1944),1886; 1903; 1909; 1944,yes,no,no,
Passerculus princeps,"Ammodramus princeps, Passerculus princeps",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_5_32 (1973),1886; 1903; 1973,yes,no,no,
Passerculus rostratus,"Passerculus rostratus, Ammodramus rostratus, Ammodramus rostratus guttatus",3,Checklist aou_1.csv (1886); Dataset aou_2_11 (1902); Dataset aou_2_12 (1903); Dataset aou_4_19 (1944),1886; 1902; 1903; 1944,yes,no,no,
